Renumbered Q#,Original Q#,Question,A,B,C,D,Correct Option,Correct Option Text
1,76,What is radiative forcing?,"Change in Earth's energy balance due to a driver (e.g., GHGs/aerosols)",Heat transfer by convection,Seasonal shift of winds,Cloud type in storms,A,"Change in Earth's energy balance due to a driver (e.g., GHGs/aerosols)"
2,77,What causes the seasons?,Earth–Sun distance changes,Earth’s axial tilt relative to its orbit,Moon phases,Ocean tides,B,Earth’s axial tilt relative to its orbit
3,78,What is the Hadley Cell?,Tropical circulation with rising air near equator and sinking in subtropics,Polar vortex circulation,Midlatitude storm track,Deep ocean circulation,A,Tropical circulation with rising air near equator and sinking in subtropics
4,79,Difference between mitigation and adaptation in the context of climate change (CC)?,Mitigation builds seawalls; adaptation bans cars,They are the same,Mitigation is weather; adaptation is climate,Mitigation reduces emissions; adaptation reduces impacts/vulnerability,D,Mitigation reduces emissions; adaptation reduces impacts/vulnerability
5,80,Primary driver of recent global warming?,Solar variability,Volcanic aerosols,Earth’s orbit changes,Human greenhouse gas emissions (fossil fuels),D,Human greenhouse gas emissions (fossil fuels)
6,81,International agreement to limit warming below 2°C?,Paris Agreement,Kyoto Protocol,Montreal Protocol,Doha Amendment,A,Paris Agreement
7,82,What is the target for Indian Net-Zero emissions according to Indian Government?,2050,2060,2030,2070,D,2070
8,83,What is the heat wave?,A day with heavy rain,Prolonged period of unusually high temperatures,A sudden snowfall,A type of thunder,B,Prolonged period of unusually high temperatures
9,84,What is the criteria for heatwaves according to IMD?,Humidity only,Wind speed only,Air pressure only,IMD criteria based on temperature thresholds and departure from normal,D,IMD criteria based on temperature thresholds and departure from normal
10,85,What is the name of the longest continuous graph recording the carbon dioxide concertation?,Keeling Curve,Hockey stick graph,Arrhenius curve,Milankovitch curve,A,Keeling Curve
11,86,Which instrument measures depth?,Barometer,Altimeter,Rain gauge,Fathometer,D,Fathometer
12,87,Which instrument measures rainfall?,Rain gauge,Barometer,Anemometer,Thermometer,A,Rain gauge
13,88,What is moving air called?,Wind,Hail,None of the above,Thunder,C,None of the above
14,89,Which layer of the atmosphere do we live in?,Stratosphere,Troposphere,Mesosphere,Thermosphere,B,Troposphere
15,90,What do we call frozen rain?,Hail,Storm,Snowfall,Permafrost,A,Hail
16,91,Which gas is most abundant in Earth's atmosphere?,Oxygen,Carbon dioxide,Argon,Nitrogen,D,Nitrogen
17,92,Which instrument measures air pressure?,Thermometer,Hygrometer,Barometer,Anemometer,C,Barometer
18,93,What do we call a scientist who studies weather?,Meteorologist,Cosmologist,Ophthalmologist,Neurologist,A,Meteorologist
19,94,A large rotating storm over oceans is called?,Convection,Lightning,Thunderstorm,Cyclone,D,Cyclone
20,95,Formation of clouds happen through which process?,Evaporation,Sublimation,Condensation,Melting,C,Condensation
21,96,What instrument measures wind speed?,Anemometer,Wind vane,Barometer,Thermometer,A,Anemometer
22,97,Morning dew turning into ice is called what?,Frost,Permafrost,Hail,None of the above,A,Frost
23,98,What is partly frozen rain called?,Moss,None of the above,Sleet,Hail,C,Sleet
24,99,Average of weather conditions over a long time for an area is called what?,Climate,Averaged weather,Environment,Season,A,Climate
25,100,What scale measures temperature in India?,Thermometer,Barometer,Hygrometer,Anemometer,A,Thermometer
26,101,When do we celebrate environment day?,22 April,21 March,2 February,5 June,D,5 June
27,102,Process of rising of warm air is called what?,Radiation,Convection,Conduction,Subsidence,B,Convection
28,103,What is the opposite of El Nino?,Fi Nino,La Nina,Ex Nino,Mi Nina,B,La Nina
29,104,What is the full form of ENSO?,Eastern North Sea Oscillation,Equatorial Neutral Sea Oscillation,El Niño Seasonal Oscillation,El Niño–Southern Oscillation,D,El Niño–Southern Oscillation
30,105,What term describes heat trapped by gases?,Blackbox,Bluebox,Blackhouse,Greenhouse,D,Greenhouse
31,106,Which current flows high in the atmosphere?,Ocean gyre,Trade winds,Land breeze,Jet stream,D,Jet stream
32,107,Desert wind which blows from Sahara are called?,Bora,Harmattan,Sirocco,Foehn,C,Sirocco
33,108,Which place in India receives maximum rainfall?,Jaisalmer,Chennai,Mawsynram,Leh,C,Mawsynram
34,109,What forms when warm and cold air meet?,Gyre,Front,Drought,Inversion,B,Front
35,110,What front forms when cold air advances?,Warm front,Cold front,Stationary front,Occluded front,B,Cold front
36,111,What front forms when warm air advances?,Cold front,Stationary front,Warm front,Occluded front,C,Warm front
37,112,What type of rainfall occurs due to mountains?,Convectional rainfall,Frontal rainfall,Orographic rainfall,Acid rain,C,Orographic rainfall
38,113,What rainfall occurs due to heating?,Convectional rainfall,Orographic rainfall,Frontal rainfall,Cyclonic rain,A,Convectional rainfall
39,114,What rainfall occurs along fronts?,Orographic rainfall,Frontal rainfall,Convectional rainfall,Monsoon rain,B,Frontal rainfall
40,115,What measure describes moisture content?,Humidity,Dew Content,AQI,Moisture Map,A,Humidity
41,116,Heat waves over oceans are called?,Cold surge,Marine heatwave,Storm tide,Upwelling,B,Marine heatwave
42,117,Which is the driest place in India?,Mawsynram,Jaisalmer (Thar Desert region),Cherrapunji,Kochi,B,Jaisalmer (Thar Desert region)
43,118,Circular ocean current is called what?,Gyre,Eddy current,Monsoon,Tide,A,Gyre
